Simulation,Final Price
790,89.1554
791,116.672
792,114.601
793,112.113
794,91.0809
795,88.7486
796,84.7037
797,97.3969
798,118.423
799,177.411
800,127.41
801,107.62
802,116.613
803,107.063
804,107.931
805,137.34
806,73.9782
807,81.5166
808,87.8762
809,170.49
810,114.094
811,111.585
812,72.153
813,98.3733
814,117.37
815,86.956
816,82.6024
817,97.6551
818,112.436
819,145.316
820,90.1341
821,83.9809
822,97.1689
823,146.815
824,109.425
825,96.8964
826,115.339
827,105.924
828,116.032
829,141.19
830,85.2813
831,105.7
832,102.031
833,120.795
834,106.291
835,118.913
836,80.0409
837,86.7556
838,103.265
839,119.573
840,124.063
841,129.974
842,77.2812
843,89.466
844,104.046
845,128.585
846,126.498
847,139.496
848,90.4496
849,125.851
850,123.695
851,86.0584
852,122.443
853,111.532
854,80.3204
855,107.595
856,92.4703
857,90.1097
858,110.336
859,86.5668
860,92.5876
861,64.3659
862,73.3175
863,82.6466
864,139.744
865,104.284
866,77.1654
867,105.916
868,96.7155
869,115.191
870,93.6105
871,129.981
872,84.8402
873,101.724
874,71.9129
875,84.6604
876,99.4664
877,134.487
878,134.744
879,101.307
880,96.5525
881,137.39
882,111.028
883,99.1153
884,89.1141
885,145.678
886,99.7461
887,138.249
888,121.579
889,77.3511
890,118.933
891,124.254
892,119.34
893,89.5275
894,75.1858
895,88.7326
896,99.3804
897,87.5811
898,67.4025
899,87.1796
900,95.0884
901,120.543
902,130.557
903,132.338
904,66.0055
905,88.0116
906,94.5977
907,110.922
908,70.9958
909,131.44
910,106.084
911,135.717
912,110.838
913,86.8144
914,78.005
915,83.0768
916,114.623
917,132.866
918,84.8201
919,154.835
920,105.342
921,94.7136
922,100.409
923,104.322
924,110.406
925,123.849
926,72.93
927,95.715
928,113.565
929,132.423
930,96.6912
931,95.8566
932,157.656
933,79.3147
934,97.0231
935,124.294
936,148.81
937,65.4869
938,144.483
939,165.782
940,75.7832
941,92.1873
942,121.225
943,137.727
944,108.771
945,105.539
946,115.171
947,145.501
948,123.688
949,138.402
950,121.534
951,110.88
952,82.2923
953,86.9062
954,114.689
955,81.7016
956,110.39
957,112.318
958,83.7325
959,145.783
960,132.574
961,129.186
962,74.6765
963,112.978
964,99.6606
965,87.1285
966,128.628
967,114.896
968,96.2449
969,84.3001
970,118.796
971,108.686
972,134.579
973,73.3809
974,93.8652
975,85.3215
976,100.342
977,171.798
978,183.945
979,83.3215
980,96.6989
981,79.0697
982,88.2469
983,99.6718
984,188.976
985,87.3183
986,111.136
987,86.6884
988,112.33
989,53.6758
990,84.4767
991,80.9798
992,99.9714
993,121.467
994,87.1338
995,82.3277
996,95.6354
997,119.898
998,103.449
999,93.9337
1000,112.489
